XRP;Ripple;;;;;
Date;Open;High;Low;Close;Volume;Cap
16-03-2018;0,699063;0,71178;0,674463;0,68926;502.740.000;26.944.356.526
15-03-2018;0,702913;0,730673;0,643845;0,697269;888.345.024;27.257.442.083
14-03-2018;0,789569;0,79908;0,67601;0,701902;479.148.992;27.438.554.006
13-03-2018;0,798451;0,805729;0,778471;0,789711;279.679.008;30.871.158.542
12-03-2018;0,832127;0,838328;0,787882;0,801048;355.031.008;31.314.533.735
11-03-2018;0,795765;0,840407;0,775737;0,831122;472.972.000;32.490.185.241
10-03-2018;0,854872;0,860443;0,793736;0,796627;402.670.016;31.141.708.195
09-03-2018;0,826122;0,856182;0,751485;0,849761;989.203.008;33.218.820.222
08-03-2018;0,872508;0,888562;0,825387;0,825857;499.496.000;32.284.366.089
07-03-2018;0,924378;0,930659;0,824895;0,87121;809.598.016;34.057.303.602
06-03-2018;0,954448;0,991306;0,916863;0,922887;875.180.032;36.077.458.649
05-03-2018;1,01;1,08;0,956116;0,959368;1.706.819.968;37.503.572.321
04-03-2018;0,906008;1,03;0,895618;1,01;797.225.984;39.308.526.146
03-03-2018;0,908786;0,926512;0,903604;0,907804;280.852.992;35.487.834.666
02-03-2018;0,926638;0,933912;0,902286;0,910144;271.036.000;35.579.309.844
01-03-2018;0,904131;0,953796;0,89063;0,928347;475.256.992;36.293.542.331
