TRX;Tron;;;;;
Date;Open;High;Low;Close;Volume;Cap
16-03-2018;0,030049;0,031245;0,028954;0,030119;149.356.000;1.980.250.085
15-03-2018;0,031047;0,03119;0,028357;0,030119;169.547.008;1.980.263.234
14-03-2018;0,035701;0,036323;0,030237;0,031056;197.406.000;2.041.908.740
13-03-2018;0,035968;0,037122;0,034525;0,035726;200.526.000;2.348.946.224
12-03-2018;0,038561;0,039508;0,034644;0,036132;228.564.992;2.375.607.116
11-03-2018;0,034751;0,039321;0,033492;0,038716;266.342.000;2.545.487.295
10-03-2018;0,036941;0,038182;0,034484;0,034928;253.447.008;2.296.433.142
09-03-2018;0,036363;0,037402;0,030829;0,036981;295.228.992;2.431.407.607
08-03-2018;0,038488;0,039594;0,035278;0,036425;236.262.000;2.394.884.486
07-03-2018;0,043944;0,044899;0,034816;0,038601;290.193.984;2.537.959.127
06-03-2018;0,046744;0,047626;0,043567;0,043958;262.251.008;2.890.172.194
05-03-2018;0,047755;0,047905;0,04639;0,046776;284.713.984;3.075.457.176
04-03-2018;0,048789;0,049675;0,047162;0,047801;314.648.992;3.142.829.349
03-03-2018;0,052525;0,052737;0,047751;0,048918;399.204.992;3.216.263.505
02-03-2018;0,0487;0,056474;0,047594;0,052947;824.566.016;3.481.136.673
01-03-2018;0,043514;0,049225;0,042367;0,048847;318.231.008;3.211.588.808
