DENT;DENT;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,013915;0,015482;0,013339;0,015215;708.656;161.498.281
10-03-2018;0,015666;0,016052;0,013798;0,013933;856.478;147.896.526
09-03-2018;0,014446;0,015742;0,011238;0,015706;2.738.870;166.716.497
08-03-2018;0,01696;0,01723;0,013965;0,014291;2.476.480;151.700.856
07-03-2018;0,019362;0,019686;0,016664;0,017056;2.859.080;181.047.486
06-03-2018;0,022588;0,022588;0,018143;0,019231;2.106.600;204.136.714
05-03-2018;0,021217;0,024394;0,01952;0,022631;3.787.730;240.226.901
04-03-2018;0,021655;0,0217;0,019609;0,021164;3.063.530;224.646.555
03-03-2018;0,02249;0,023233;0,021507;0,021755;2.344.930;230.925.186
02-03-2018;0,02426;0,02426;0,021993;0,022509;5.779.060;238.923.409
01-03-2018;0,024322;0,025025;0,023383;0,024274;2.129.670;257.658.462
