GNT;GOLEM;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,296867;0,320607;0,286486;0,31266;3.783.820;260.840.357
10-03-2018;0,30745;0,325901;0,297388;0,298015;4.176.840;248.622.590
09-03-2018;0,311596;0,317208;0,268046;0,307977;7.019.260;256.933.508
08-03-2018;0,367507;0,371501;0,306568;0,313938;8.414.930;261.906.544
07-03-2018;0,421391;0,424979;0,350236;0,370844;6.024.950;309.381.057
06-03-2018;0,495754;0,495754;0,416585;0,421107;8.785.450;351.313.568
05-03-2018;0,439011;0,495009;0,43749;0,495009;9.446.610;412.967.198
04-03-2018;0,429661;0,443801;0,413919;0,438214;6.927.090;365.585.288
03-03-2018;0,43282;0,449247;0,418126;0,430565;7.339.290;359.204.018
02-03-2018;0,451623;0,461322;0,408909;0,432654;11.687.900;360.946.791
01-03-2018;0,364512;0,459742;0,360823;0,454708;15.133.400;379.345.605
