USDT;Tether ;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;1;1,01;0,994709;1;2.394.810.112;2.225.654.634
10-03-2018;0,997607;1,01;0,994936;1,01;2.218.810.112;2.228.647.774
09-03-2018;0,999723;1,01;0,988564;1;3.131.620.096;2.220.821.267
08-03-2018;1;1,01;0,985734;1,01;2.636.689.920;2.230.244.116
07-03-2018;0,998354;1,02;0,981378;1;3.037.380.096;2.222.639.323
06-03-2018;1,01;1,01;0,99626;1;2.491.849.984;2.218.249.384
05-03-2018;0,997521;1;0,995019;0,998864;2.227.680.000;2.214.622.142
04-03-2018;1;1;0,995287;0,997612;2.133.910.016;2.211.846.281
03-03-2018;0,995248;1,01;0,993477;1;2.181.489.920;2.219.069.726
02-03-2018;0,998189;1,01;0,994439;0,99973;2.172.250.112;2.216.542.186
01-03-2018;0,999847;1,01;0,995679;1;2.285.570.048;2.218.072.013
