XVG;Verge ;;;;;
Date;Open;High;Low;Close;Volume;Cap
13-03-2018;0,037394;0,038808;0,035825;0,036173;6.449.030;531.952.969
12-03-2018;0,039078;0,040894;0,035862;0,037688;8.081.210;554.079.676
11-03-2018;0,036216;0,039858;0,034626;0,039274;7.920.510;577.233.152
10-03-2018;0,039218;0,042399;0,035577;0,036487;11.953.300;536.249.019
09-03-2018;0,038541;0,039392;0,032264;0,039227;13.440.500;576.213.493
08-03-2018;0,043104;0,043716;0,038421;0,038908;10.226.700;571.370.263
07-03-2018;0,049088;0,051381;0,038952;0,043275;23.510.800;635.329.930
06-03-2018;0,054755;0,054755;0,048673;0,049115;12.829.900;720.864.503
05-03-2018;0,056107;0,057071;0,054316;0,05443;14.381.500;798.651.066
04-03-2018;0,055704;0,057338;0,05396;0,056533;13.547.200;829.284.155
03-03-2018;0,059608;0,059868;0,055483;0,055918;18.436.600;820.036.945
02-03-2018;0,05889;0,064675;0,058359;0,05996;52.483.700;879.069.520
01-03-2018;0,053702;0,065946;0,052975;0,058374;72.097.200;855.574.829
