XLM;Stellar ;;;;;
Date;Open;High;Low;Close;Volume;Cap
15-03-2018;0,248854;0,250575;0,217064;0,240655;54.358.800;4.451.800.974
14-03-2018;0,29185;0,297763;0,240711;0,248689;49.138.300;4.600.419.158
13-03-2018;0,290151;0,301183;0,28229;0,290193;24.814.700;5.368.188.441
12-03-2018;0,304301;0,312193;0,286332;0,291765;29.443.200;5.397.195.313
11-03-2018;0,291868;0,306688;0,280042;0,304217;26.023.900;5.627.534.242
10-03-2018;0,315618;0,320392;0,29007;0,292661;21.963.200;5.413.765.900
09-03-2018;0,311237;0,31544;0,267454;0,311859;56.838.800;5.768.898.149
08-03-2018;0,329847;0,341127;0,306218;0,311938;47.233.100;5.770.353.784
07-03-2018;0,337814;0,349137;0,300388;0,329103;62.389.100;6.078.003.667
06-03-2018;0,351753;0,366554;0,335254;0,337911;44.141.000;6.240.667.058
05-03-2018;0,363777;0,398224;0,352031;0,352031;98.523.696;6.501.352.349
04-03-2018;0,354031;0,363792;0,342398;0,36193;99.892.704;6.684.166.251
03-03-2018;0,319021;0,350168;0,313368;0,350168;52.827.100;6.466.943.432
02-03-2018;0,338691;0,340805;0,31885;0,320107;38.378.100;5.911.772.933
01-03-2018;0,334118;0,347566;0,321558;0,339314;46.631.800;6.266.485.694
