MAID; MaidSafeCoin;;;;;
Date;Open;High;Low;Close;Volume;Cap
10-03-2018;0,305388;0,318;0,284903;0,286987;1.291.030;129.876.659
09-03-2018;0,300483;0,315039;0,260544;0,305248;2.448.200;138.140.719
08-03-2018;0,343037;0,348707;0,287682;0,292979;2.489.660;132.588.353
07-03-2018;0,368819;0,383718;0,320587;0,34843;2.821.220;157.682.837
06-03-2018;0,394605;0,405581;0,358275;0,373307;2.902.060;168.940.983
05-03-2018;0,418006;0,438383;0,393223;0,396143;2.749.450;179.275.470
04-03-2018;0,407894;0,412108;0,37764;0,409775;2.278.960;185.444.665
03-03-2018;0,40415;0,450005;0,390673;0,411734;4.440.950;186.331.215
02-03-2018;0,390373;0,411778;0,370231;0,404976;5.179.730;183.272.866
01-03-2018;0,38006;0,406019;0,360283;0,394681;4.883.590;178.613.839
