WAX;WAX;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,177047;0,198345;0,171046;0,193229;2.242.640;95.253.112
10-03-2018;0,188414;0,211746;0,17404;0,179347;6.463.820;88.409.917
09-03-2018;0,194985;0,198272;0,161181;0,182208;3.727.330;89.820.260
08-03-2018;0,218474;0,221183;0,192282;0,197708;4.554.240;97.461.056
07-03-2018;0,271349;0,275479;0,204865;0,220416;7.918.680;108.655.067
06-03-2018;0,30252;0,303185;0,269666;0,271914;3.358.210;134.041.240
05-03-2018;0,312762;0,312762;0,30172;0,304194;4.332.090;149.953.813
04-03-2018;0,302119;0,329323;0,288659;0,31324;7.787.500;154.413.079
03-03-2018;0,303117;0,322811;0,285376;0,302857;6.453.970;149.294.732
02-03-2018;0,304115;0,304115;0,288813;0,30367;5.435.060;149.695.504
01-03-2018;0,291497;0,313231;0,275743;0,304054;8.225.950;149.884.799
