SNT;Status ;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,137507;0,143728;0,132887;0,14029;28.504.900;486.874.171
10-03-2018;0,149215;0,15121;0,135548;0,137373;24.100.200;476.750.769
09-03-2018;0,154292;0,156007;0,133015;0,146273;54.375.800;507.638.075
08-03-2018;0,162314;0,165292;0,152382;0,152725;31.578.600;530.029.637
07-03-2018;0,175853;0,179107;0,156325;0,160731;51.239.800;557.814.330
06-03-2018;0,173985;0,187931;0,17098;0,175295;63.684.800;608.358.456
05-03-2018;0,161658;0,192045;0,158174;0,173595;102.292.000;602.458.633
04-03-2018;0,160189;0,163921;0,155781;0,161383;17.081.700;560.077.085
03-03-2018;0,153883;0,167162;0,152851;0,16059;30.786.600;557.324.992
02-03-2018;0,160931;0,163871;0,15172;0,154255;19.425.500;535.339.477
01-03-2018;0,16268;0,162761;0,153079;0,161272;25.047.900;559.691.861
