ARDR;Ardor;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,279589;0,299848;0,26678;0,290103;1.919.040;289.812.750
10-03-2018;0,297951;0,304098;0,279903;0,280496;3.540.630;280.215.362
09-03-2018;0,31957;0,322595;0,273515;0,299141;3.582.840;298.841.708
08-03-2018;0,343896;0,35151;0,319034;0,31963;3.588.940;319.310.209
07-03-2018;0,383946;0,39062;0,336281;0,345271;3.929.620;344.925.555
06-03-2018;0,404047;0,404047;0,377963;0,384477;2.719.590;384.092.329
05-03-2018;0,416307;0,419923;0,403747;0,40463;3.728.840;404.225.166
04-03-2018;0,424425;0,424425;0,39518;0,417615;3.498.680;417.197.174
03-03-2018;0,399997;0,437467;0,394065;0,424778;6.434.880;424.353.007
02-03-2018;0,386817;0,403232;0,374024;0,399095;4.546.800;398.695.703
01-03-2018;0,382208;0,396743;0,36028;0,387781;4.098.460;387.393.023
