SC;Siacoin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,012875;0,014364;0,012385;0,013945;2.377.630;460.598.839
10-03-2018;0,013585;0,014141;0,01287;0,013003;2.799.510;429.361.091
09-03-2018;0,014141;0,014371;0,011849;0,01375;6.668.280;453.722.637
08-03-2018;0,015321;0,016123;0,014024;0,014189;6.111.220;467.913.281
07-03-2018;0,017835;0,018119;0,014241;0,015438;12.180.500;508.736.533
06-03-2018;0,020268;0,020268;0,017662;0,017895;5.984.640;589.294.982
05-03-2018;0,019891;0,020538;0,019625;0,020404;6.560.710;671.440.505
04-03-2018;0,020173;0,020245;0,019025;0,020017;5.738.800;658.271.905
03-03-2018;0,020736;0,021333;0,020031;0,020198;6.888.900;663.784.414
02-03-2018;0,021588;0,022263;0,020528;0,020912;13.311.300;686.753.877
01-03-2018;0,019203;0,023155;0,019084;0,02169;27.037.500;711.819.640
