IOST;IOST;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,017679;0,022554;0,016786;0,021583;35.502.900;181.293.840
10-03-2018;0,019216;0,019717;0,017534;0,017698;21.337.100;148.659.840
09-03-2018;0,01974;0,019976;0,016192;0,019209;40.552.600;161.351.400
08-03-2018;0,024116;0,024988;0,019173;0,019799;48.801.300;134.517.262
07-03-2018;0,031111;0,03188;0,02352;0,024244;33.781.600;164.719.119
06-03-2018;0,035021;0,035368;0,030778;0,031095;34.712.000;211.262.848
05-03-2018;0,034601;0,036859;0,034118;0,035174;40.693.400;238.976.022
04-03-2018;0,03431;0,034614;0,032885;0,034599;25.935.500;235.071.447
03-03-2018;0,034477;0,035598;0,034074;0,03432;24.855.400;233.173.173
02-03-2018;0,03474;0,036624;0,034102;0,034444;29.294.200;234.014.284
01-03-2018;0,033644;0,03592;0,031621;0,034755;33.971.800;236.129.970
