THETA;THETA;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,162779;0,187665;0,152188;0,183699;22.180.800;108.030.393
10-03-2018;0,167886;0,19204;0,157478;0,163999;27.255.700;96.445.144
09-03-2018;0,137751;0,174;0,120192;0,170549;16.600.700;100.297.092
08-03-2018;0,168495;0,176365;0,13128;0,140874;14.515.700;82.845.708
07-03-2018;0,203347;0,208011;0,152901;0,168804;16.381.000;99.270.886
06-03-2018;0,214717;0,217882;0,183794;0,201824;19.680.000;118.689.411
05-03-2018;0,21502;0,223604;0,202781;0,214687;23.577.400;125.144.609
04-03-2018;0,229053;0,240875;0,202407;0,216126;29.309.100;125.983.426
03-03-2018;0,194724;0,234922;0,182687;0,229566;30.205.500;133.817.824
02-03-2018;0,212539;0,212539;0,171023;0,195717;29.473.000;114.086.681
01-03-2018;0,146298;0,21336;0,145689;0,211598;37.765.000;123.343.979
