DOGE;DOGE COIN;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,003959;0,00432;0,003843;0,00421;9.251.440;477.971.379
10-03-2018;0,004137;0,004379;0,00395;0,003973;9.880.540;451.032.436
09-03-2018;0,004006;0,004146;0,003618;0,004146;13.624.400;470.609.046
08-03-2018;0,004015;0,004418;0,003895;0,004025;15.499.400;456.837.512
07-03-2018;0,004618;0,004704;0,004011;0,004024;17.585.500;456.705.754
06-03-2018;0,005122;0,005136;0,004558;0,00461;14.766.900;523.141.571
05-03-2018;0,005462;0,005535;0,005157;0,005218;13.627.700;591.986.388
04-03-2018;0,005234;0,005502;0,005164;0,005502;12.133.500;624.158.962
03-03-2018;0,005494;0,005756;0,005181;0,005301;21.545.000;601.285.949
02-03-2018;0,006174;0,006232;0,005447;0,005482;22.498.100;621.726.561
01-03-2018;0,006042;0,00632;0,005945;0,006215;15.518.400;704.812.282
