ADA;Cardano;;;;;
Date;Open;High;Low;Close;Volume;Cap
15-03-2018;0,198755;0,201611;0,172485;0,185709;204.232.992;4.814.890.343
14-03-2018;0,22343;0,233147;0,196005;0,199562;144.156.000;5.174.058.051
13-03-2018;0,22311;0,229146;0,215402;0,223026;98.868.704;5.782.410.834
12-03-2018;0,224104;0,237342;0,219654;0,223722;184.250.000;5.800.456.075
11-03-2018;0,209721;0,227322;0,198153;0,223498;161.362.000;5.794.648.411
10-03-2018;0,225216;0,226558;0,208859;0,209873;129.138.000;5.441.392.075
09-03-2018;0,221286;0,225115;0,191804;0,222207;246.848.992;5.761.176.563
08-03-2018;0,24816;0,254354;0,221131;0,221743;167.808.992;5.749.146.402
07-03-2018;0,284674;0,287598;0,236256;0,247281;190.792.992;6.411.271.930
06-03-2018;0,295947;0,303019;0,283993;0,285357;110.305.000;7.398.471.068
05-03-2018;0,299897;0,317723;0,291055;0,297622;202.675.008;7.716.466.588
04-03-2018;0,296285;0,303588;0,286193;0,300787;94.436.000;7.798.525.766
03-03-2018;0,292952;0,309129;0,292507;0,297106;115.320.000;7.703.088.219
02-03-2018;0,304424;0,307058;0,288875;0,293504;107.240.000;7.609.698.911
01-03-2018;0,311973;0,311973;0,288392;0,304397;184.691.008;7.892.122.491
