BTS;Bytecoin;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,16112;0,179255;0,153101;0,169669;8.714.740;442.929.408
10-03-2018;0,168647;0,177056;0,160923;0,160923;8.245.420;420.081.445
09-03-2018;0,164652;0,168923;0,150714;0,168227;11.478.600;439.133.032
08-03-2018;0,17658;0,185804;0,162967;0,164952;12.021.900;430.567.608
07-03-2018;0,19025;0,199253;0,165035;0,176598;18.907.400;460.950.802
06-03-2018;0,213351;0,215692;0,18859;0,189021;18.815.600;493.358.041
05-03-2018;0,227786;0,230372;0,214232;0,214232;9.874.860;559.139.093
04-03-2018;0,216346;0,227727;0,209579;0,227727;8.802.090;594.340.143
03-03-2018;0,229867;0,234551;0,207741;0,216669;17.722.500;565.458.423
02-03-2018;0,238805;0,240513;0,227286;0,229927;10.685.700;600.038.193
01-03-2018;0,220915;0,24584;0,220598;0,239448;20.483.300;624.892.235
