DBG;DigiByte ;;;;;
Date;Open;High;Low;Close;Volume;Cap
11-03-2018;0,024355;0,026733;0,02337;0,026384;1.486.700;262.758.720
10-03-2018;0,025682;0,026968;0,024455;0,024459;1.471.850;243.483.006
09-03-2018;0,026594;0,027078;0,023204;0,02565;2.585.470;255.214.546
08-03-2018;0,027752;0,02925;0,025797;0,026729;2.348.080;265.824.545
07-03-2018;0,031103;0,032543;0,026125;0,027783;4.314.090;276.182.712
06-03-2018;0,034371;0,034371;0,030479;0,031071;2.659.290;308.721.094
05-03-2018;0,03558;0,036499;0,034258;0,0343;3.065.310;340.651.720
04-03-2018;0,035049;0,036215;0,033407;0,035613;2.802.420;353.521.740
03-03-2018;0,036013;0,036799;0,03351;0,035137;3.778.450;348.632.309
02-03-2018;0,036287;0,038559;0,035121;0,036205;4.526.580;359.064.545
01-03-2018;0,032343;0,037473;0,032049;0,036329;7.433.250;360.121.342
